tax_id,plot_id,registered_area_sqm,tax_status,last_assessment_date
TAX-OD-0100,100,35086.17,Paid,2026-07-27
TAX-OD-0101,101,47698.2,Paid,2026-03-18
TAX-OD-0102,102,20728.95,Defaulter,2026-05-18
TAX-OD-0103,103,6338.97,Defaulter,2026-02-24
TAX-OD-0104,104,17546.65,Pending,2026-06-12
TAX-OD-0105,105,4147.3,Paid,2026-03-11
TAX-OD-0106,106,7308.06,Paid,2026-06-03
TAX-OD-0107,107,25082.32,Paid,2026-04-08
TAX-OD-0108,108,25776.62,Pending,2026-05-15
TAX-OD-0109,109,26688.93,Paid,2026-01-09
TAX-OD-0110,110,21397.35,Pending,2026-01-12
TAX-OD-0111,111,56226.42,Paid,2026-04-21
TAX-OD-0112,112,26744.24,Defaulter,2026-06-03
TAX-OD-0113,113,16275.2,Defaulter,2026-05-05
TAX-OD-0114,114,41733.98,Pending,2026-03-17
TAX-OD-0115,115,20878.49,Paid,2026-06-13
TAX-OD-0116,116,36018.83,Pending,2026-01-07
TAX-OD-0117,117,31074.96,Paid,2026-02-23
TAX-OD-0118,118,27256.71,Paid,2026-03-06
TAX-OD-0119,119,36703.33,Paid,2026-08-28
TAX-OD-0120,120,15034.91,Paid,2026-04-02
TAX-OD-0121,121,34619.92,Paid,2026-04-20
TAX-OD-0122,122,21706.75,Defaulter,2026-06-05
TAX-OD-0123,123,18607.61,Paid,2026-04-26
TAX-OD-0124,124,21969.07,Paid,2026-01-04
TAX-OD-0125,125,22052.86,Paid,2026-06-15
TAX-OD-0126,126,5249.19,Pending,2026-06-03
TAX-OD-0127,127,23576.5,Paid,2026-01-09
TAX-OD-0128,128,4354.58,Paid,2026-01-26
TAX-OD-0129,129,13808.73,Paid,2026-01-15
TAX-OD-0130,130,28879.13,Paid,2026-05-01
TAX-OD-0131,131,15257.02,Paid,2026-02-07
TAX-OD-0132,132,26577.94,Pending,2026-02-25
TAX-OD-0133,133,14146.92,Paid,2026-05-12
TAX-OD-0134,134,23175.66,Paid,2026-07-26
TAX-OD-0135,135,16743.87,Paid,2026-01-25
TAX-OD-0136,136,15747.28,Paid,2026-05-28
TAX-OD-0137,137,32133.35,Defaulter,2026-07-05
TAX-OD-0138,138,5324.24,Pending,2026-07-20
TAX-OD-0139,139,17449.12,Defaulter,2026-06-02
TAX-OD-0140,140,18200.13,Defaulter,2026-06-14
TAX-OD-0141,141,4545.43,Paid,2026-03-26
TAX-OD-0142,142,43266.33,Pending,2026-03-07
TAX-OD-0143,143,27147.35,Paid,2026-07-16
TAX-OD-0144,144,15958.28,Paid,2026-07-20
TAX-OD-0145,145,39679.68,Paid,2026-03-13
TAX-OD-0146,146,25015.94,Paid,2026-06-09
TAX-OD-0147,147,38267.52,Paid,2026-08-04
TAX-OD-0148,148,6706.01,Paid,2026-01-02
TAX-OD-0149,149,13302.57,Paid,2026-07-22
TAX-OD-0150,150,11634.95,Paid,2026-08-13
TAX-OD-0151,151,19573.64,Defaulter,2026-02-15
TAX-OD-0152,152,17012.21,Defaulter,2026-07-11
TAX-OD-0153,153,18114.29,Paid,2026-03-15
TAX-OD-0154,154,11754.46,Paid,2026-05-14
TAX-OD-0155,155,10561.09,Paid,2026-02-21
TAX-OD-0156,156,13297.27,Pending,2026-04-09
TAX-OD-0157,157,12045.62,Paid,2026-05-11
TAX-OD-0158,158,10111.87,Pending,2026-06-14
TAX-OD-0159,159,20396.71,Paid,2026-03-25
TAX-OD-0160,160,10440.48,Paid,2026-04-19
TAX-OD-0161,161,19103.87,Pending,2026-07-02
TAX-OD-0162,162,9994.6,Paid,2026-07-07
TAX-OD-0163,163,10555.89,Paid,2026-07-06
TAX-OD-0164,164,9846.12,Paid,2026-04-26
TAX-OD-0165,165,22600.22,Paid,2026-02-16
TAX-OD-0166,166,40950.14,Paid,2026-06-14
TAX-OD-0167,167,19762.5,Paid,2026-01-22
TAX-OD-0168,168,15973.46,Pending,2026-01-05
TAX-OD-0169,169,25235.8,Defaulter,2026-05-07
TAX-OD-0170,170,18140.3,Defaulter,2026-06-13
TAX-OD-0171,171,33051.64,Defaulter,2026-07-06
TAX-OD-0172,172,12708.73,Pending,2026-04-01
TAX-OD-0173,173,28549.44,Paid,2026-06-14
TAX-OD-0174,174,36642.82,Paid,2026-06-27
TAX-OD-0175,175,15818.17,Paid,2026-08-20
TAX-OD-0176,176,19625.03,Paid,2026-02-03
TAX-OD-0177,177,25575.01,Pending,2026-02-20
TAX-OD-0178,178,13667.08,Pending,2026-04-17
TAX-OD-0179,179,19927.56,Defaulter,2026-08-12
TAX-OD-0180,180,20697.23,Paid,2026-08-25
TAX-OD-0181,181,26166.0,Paid,2026-07-07
TAX-OD-0182,182,14873.75,Paid,2026-07-13
TAX-OD-0183,183,47761.93,Pending,2026-05-25
TAX-OD-0184,184,18536.02,Paid,2026-03-01
TAX-OD-0185,185,26478.7,Pending,2026-08-26
TAX-OD-0186,186,33794.64,Paid,2026-08-11
TAX-OD-0187,187,42709.85,Paid,2026-02-19
TAX-OD-0188,188,25123.07,Defaulter,2026-06-02
TAX-OD-0189,189,12651.52,Pending,2026-02-23
TAX-OD-0190,190,11760.47,Paid,2026-05-17
TAX-OD-0191,191,17201.51,Pending,2026-07-11
TAX-OD-0192,192,15106.5,Pending,2026-05-15
TAX-OD-0193,193,33345.73,Defaulter,2026-08-26
TAX-OD-0194,194,19422.62,Pending,2026-03-08
TAX-OD-0195,195,29676.74,Pending,2026-06-11
TAX-OD-0196,196,27537.76,Paid,2026-02-11
TAX-OD-0197,197,11527.95,Paid,2026-01-23
TAX-OD-0198,198,42385.31,Paid,2026-06-23
TAX-OD-0199,199,28783.99,Paid,2026-01-21
TAX-OD-0200,200,36133.02,Pending,2026-07-26
TAX-OD-0201,201,15762.94,Defaulter,2026-04-01
TAX-OD-0202,202,14424.73,Paid,2026-06-06
TAX-OD-0203,203,9190.32,Paid,2026-07-28
TAX-OD-0204,204,18849.79,Paid,2026-06-20
TAX-OD-0205,205,28357.07,Paid,2026-08-11
TAX-OD-0206,206,20445.28,Paid,2026-05-06
TAX-OD-0207,207,10138.09,Paid,2026-05-06
TAX-OD-0208,208,14993.74,Paid,2026-01-11
TAX-OD-0209,209,28455.7,Pending,2026-02-18
TAX-OD-0210,210,27285.09,Pending,2026-03-04
TAX-OD-0211,211,35975.71,Paid,2026-05-15
TAX-OD-0212,212,10124.28,Defaulter,2026-02-17
TAX-OD-0213,213,24351.03,Paid,2026-01-01
TAX-OD-0214,214,27105.13,Defaulter,2026-07-26
TAX-OD-0215,215,30435.26,Pending,2026-04-03
TAX-OD-0216,216,17519.64,Paid,2026-07-02
TAX-OD-0217,217,23538.79,Paid,2026-08-08
TAX-OD-0218,218,51870.91,Paid,2026-01-06
TAX-OD-0219,219,29298.29,Paid,2026-01-12
TAX-OD-0220,220,12444.18,Paid,2026-06-26
TAX-OD-0221,221,21237.69,Defaulter,2026-01-08
TAX-OD-0222,222,27785.58,Paid,2026-03-19
TAX-OD-0223,223,28663.81,Paid,2026-05-17
TAX-OD-0224,224,26117.88,Pending,2026-05-21
TAX-OD-0225,225,10726.46,Defaulter,2026-04-12
TAX-OD-0226,226,12586.61,Pending,2026-02-03
TAX-OD-0227,227,16573.09,Paid,2026-08-23
TAX-OD-0228,228,23997.71,Paid,2026-01-24
TAX-OD-0229,229,25832.67,Paid,2026-08-01
TAX-OD-0230,230,20670.37,Pending,2026-07-16
TAX-OD-0231,231,17259.18,Paid,2026-01-19
TAX-OD-0232,232,22573.08,Pending,2026-06-13
TAX-OD-0233,233,17268.65,Paid,2026-02-05
TAX-OD-0234,234,17517.93,Paid,2026-02-02
TAX-OD-0235,235,48236.59,Paid,2026-04-01
TAX-OD-0236,236,30212.8,Defaulter,2026-06-18
TAX-OD-0237,237,41713.54,Paid,2026-05-27
TAX-OD-0238,238,31990.23,Paid,2026-05-14
TAX-OD-0239,239,16432.4,Pending,2026-06-13
TAX-OD-0240,240,21877.4,Paid,2026-05-26
TAX-OD-0241,241,11636.23,Paid,2026-03-18
TAX-OD-0242,242,17149.4,Paid,2026-01-23
TAX-OD-0243,243,47986.99,Paid,2026-01-24
TAX-OD-0244,244,32597.13,Paid,2026-02-08
TAX-OD-0245,245,29516.87,Paid,2026-06-27
TAX-OD-0246,246,12155.98,Paid,2026-02-26
TAX-OD-0247,247,29191.03,Paid,2026-07-08
TAX-OD-0248,248,24481.0,Paid,2026-04-04
TAX-OD-0249,249,37184.12,Paid,2026-04-05
TAX-OD-0250,250,10555.76,Paid,2026-06-28
TAX-OD-0251,251,20449.74,Defaulter,2026-06-02
TAX-OD-0252,252,22665.69,Paid,2026-04-07
TAX-OD-0253,253,26403.72,Paid,2026-03-11
TAX-OD-0254,254,16008.38,Paid,2026-04-13
TAX-OD-0255,255,17279.66,Paid,2026-08-17
TAX-OD-0256,256,27579.52,Paid,2026-02-26
TAX-OD-0257,257,28726.27,Paid,2026-05-01
TAX-OD-0258,258,26135.05,Paid,2026-06-11
TAX-OD-0259,259,19411.13,Defaulter,2026-07-13
TAX-OD-0260,260,15807.49,Paid,2026-08-01
TAX-OD-0261,261,33034.03,Paid,2026-03-04
TAX-OD-0262,262,36946.15,Paid,2026-05-19
TAX-OD-0263,263,14203.29,Pending,2026-08-15
TAX-OD-0264,264,7450.54,Paid,2026-02-17
TAX-OD-0265,265,19523.2,Paid,2026-04-13
TAX-OD-0266,266,26057.02,Pending,2026-03-27
TAX-OD-0267,267,24700.38,Defaulter,2026-06-08
TAX-OD-0268,268,31056.59,Paid,2026-02-27
TAX-OD-0269,269,15251.13,Paid,2026-04-15
TAX-OD-0270,270,22627.48,Paid,2026-02-11
TAX-OD-0271,271,10449.9,Paid,2026-04-24
TAX-OD-0272,272,18017.11,Paid,2026-06-05
TAX-OD-0273,273,15072.28,Paid,2026-04-26
TAX-OD-0274,274,14273.2,Defaulter,2026-03-03
TAX-OD-0275,275,8165.11,Paid,2026-08-21
TAX-OD-0276,276,21443.18,Pending,2026-08-01
TAX-OD-0277,277,44307.44,Paid,2026-08-03
TAX-OD-0278,278,18688.88,Paid,2026-08-10
TAX-OD-0279,279,9626.29,Pending,2026-06-23
TAX-OD-0280,280,16463.55,Paid,2026-08-22
TAX-OD-0281,281,14646.47,Pending,2026-03-27
TAX-OD-0282,282,22669.92,Paid,2026-04-24
TAX-OD-0283,283,9423.31,Pending,2026-04-16
TAX-OD-0284,284,12878.88,Paid,2026-03-03
TAX-OD-0285,285,20269.64,Paid,2026-06-28
TAX-OD-0286,286,21632.79,Pending,2026-04-12
TAX-OD-0287,287,18890.68,Defaulter,2026-06-22
TAX-OD-0288,288,25598.67,Pending,2026-05-20
TAX-OD-0289,289,9702.55,Paid,2026-04-08
TAX-OD-0290,290,19166.56,Paid,2026-02-22
TAX-OD-0291,291,5140.93,Defaulter,2026-07-21
TAX-OD-0292,292,5642.56,Paid,2026-03-28
TAX-OD-0293,293,7574.5,Paid,2026-04-04
TAX-OD-0294,294,19801.48,Pending,2026-01-20
TAX-OD-0295,295,23308.04,Paid,2026-04-28
TAX-OD-0296,296,26441.02,Paid,2026-08-12
TAX-OD-0297,297,21044.83,Paid,2026-01-04
TAX-OD-0298,298,14058.05,Paid,2026-07-25
TAX-OD-0299,299,16021.09,Paid,2026-04-01
TAX-OD-0300,300,17970.95,Paid,2026-02-23
TAX-OD-0301,301,15575.78,Paid,2026-02-25
TAX-OD-0302,302,13270.53,Paid,2026-05-28
TAX-OD-0303,303,9606.22,Paid,2026-05-22
TAX-OD-0304,304,18660.35,Paid,2026-04-05
TAX-OD-0305,305,20042.7,Defaulter,2026-07-15
TAX-OD-0306,306,22805.74,Paid,2026-03-14
TAX-OD-0307,307,11828.46,Paid,2026-06-25
TAX-OD-0308,308,16003.07,Pending,2026-08-04
TAX-OD-0309,309,5548.39,Paid,2026-07-23
TAX-OD-0310,310,9844.52,Paid,2026-02-13
TAX-OD-0311,311,18252.77,Paid,2026-03-22
TAX-OD-0312,312,31429.71,Paid,2026-04-27
TAX-OD-0313,313,9032.4,Pending,2026-08-20
TAX-OD-0314,314,5280.11,Paid,2026-03-14
TAX-OD-0315,315,9951.8,Pending,2026-03-05
TAX-OD-0316,316,8611.5,Paid,2026-04-02
TAX-OD-0317,317,16804.97,Pending,2026-05-23
TAX-OD-0318,318,16234.31,Paid,2026-03-13
TAX-OD-0319,319,17038.37,Paid,2026-07-16
TAX-OD-0320,320,17179.64,Pending,2026-04-10
TAX-OD-0321,321,16193.82,Paid,2026-06-24
TAX-OD-0322,322,33050.28,Paid,2026-06-12
TAX-OD-0323,323,24457.63,Defaulter,2026-01-26
TAX-OD-0324,324,42807.77,Paid,2026-03-01
TAX-OD-0325,325,7637.77,Paid,2026-03-08
TAX-OD-0326,326,8092.21,Paid,2026-02-01
TAX-OD-0327,327,21101.93,Paid,2026-05-07
TAX-OD-0328,328,15109.15,Paid,2026-08-24
TAX-OD-0329,329,3484.93,Pending,2026-02-07
TAX-OD-0330,330,13399.33,Paid,2026-02-17
TAX-OD-0331,331,26778.3,Pending,2026-02-16
TAX-OD-0332,332,19090.82,Paid,2026-06-20
TAX-OD-0333,333,5760.34,Paid,2026-08-23
TAX-OD-0334,334,19519.27,Pending,2026-07-08
TAX-OD-0335,335,21262.57,Paid,2026-03-01
TAX-OD-0336,336,6600.82,Defaulter,2026-08-14
TAX-OD-0337,337,16576.11,Paid,2026-08-18
TAX-OD-0338,338,26940.69,Paid,2026-06-01
TAX-OD-0339,339,28871.14,Defaulter,2026-01-19
TAX-OD-0340,340,13900.41,Pending,2026-03-23
TAX-OD-0341,341,19934.77,Paid,2026-02-23
TAX-OD-0342,342,14112.77,Paid,2026-06-20
TAX-OD-0343,343,7541.48,Paid,2026-02-16
TAX-OD-0344,344,14571.86,Paid,2026-01-20
TAX-OD-0345,345,9096.89,Paid,2026-02-12
TAX-OD-0346,346,17582.58,Paid,2026-04-23
TAX-OD-0347,347,28693.72,Pending,2026-08-07
TAX-OD-0348,348,18754.03,Paid,2026-05-06
TAX-OD-0349,349,6624.23,Paid,2026-07-27
TAX-OD-0350,350,8368.96,Pending,2026-01-05
TAX-OD-0351,351,5821.7,Paid,2026-02-02
TAX-OD-0352,352,25945.78,Paid,2026-06-01
TAX-OD-0353,353,28420.68,Paid,2026-03-18
TAX-OD-0354,354,29937.56,Paid,2026-01-20
TAX-OD-0355,355,28564.68,Paid,2026-08-04
TAX-OD-0356,356,11774.25,Pending,2026-05-10
TAX-OD-0357,357,10679.12,Paid,2026-07-08
TAX-OD-0358,358,24198.77,Paid,2026-07-08
TAX-OD-0359,359,11548.02,Paid,2026-07-01
TAX-OD-0360,360,27963.71,Paid,2026-04-21
TAX-OD-0361,361,43464.53,Pending,2026-02-15
TAX-OD-0362,362,19655.91,Paid,2026-02-16
TAX-OD-0363,363,18707.5,Paid,2026-01-04
TAX-OD-0364,364,20595.4,Paid,2026-03-07
TAX-OD-0365,365,13756.35,Paid,2026-05-15
TAX-OD-0366,366,22624.08,Paid,2026-03-26
TAX-OD-0367,367,23778.51,Paid,2026-02-15
TAX-OD-0368,368,14231.79,Pending,2026-02-19
TAX-OD-0369,369,25832.08,Paid,2026-07-08
TAX-OD-0370,370,7950.97,Paid,2026-02-27
TAX-OD-0371,371,6158.52,Pending,2026-05-26
TAX-OD-0372,372,17845.08,Pending,2026-04-23
TAX-OD-0373,373,15804.23,Paid,2026-06-25
TAX-OD-0374,374,10823.58,Paid,2026-02-09
TAX-OD-0375,375,18660.57,Paid,2026-05-04
TAX-OD-0376,376,45497.54,Defaulter,2026-04-10
TAX-OD-0377,377,25433.42,Paid,2026-04-06
TAX-OD-0378,378,11254.21,Paid,2026-06-16
TAX-OD-0379,379,34914.29,Pending,2026-02-10
TAX-OD-0380,380,12271.98,Pending,2026-08-04
TAX-OD-0381,381,14457.63,Paid,2026-04-24
TAX-OD-0382,382,8079.07,Paid,2026-06-13
TAX-OD-0383,383,7459.6,Paid,2026-06-22
TAX-OD-0384,384,4941.22,Defaulter,2026-04-14
TAX-OD-0385,385,13300.29,Paid,2026-03-19
TAX-OD-0386,386,20671.6,Paid,2026-07-04
TAX-OD-0387,387,8296.16,Paid,2026-05-27
TAX-OD-0388,388,16716.05,Pending,2026-03-18
TAX-OD-0389,389,99612.01,Paid,2026-01-05
TAX-OD-0390,390,27930.53,Paid,2026-04-27
TAX-OD-0391,391,25176.23,Paid,2026-08-16
TAX-OD-0392,392,35092.33,Paid,2026-07-01
TAX-OD-0393,393,15557.62,Pending,2026-04-12
TAX-OD-0394,394,12814.21,Paid,2026-07-03
TAX-OD-0395,395,24906.28,Paid,2026-06-19
TAX-OD-0396,396,18302.33,Pending,2026-04-04
TAX-OD-0397,397,32217.91,Paid,2026-01-06
TAX-OD-0398,398,24696.7,Paid,2026-04-03
TAX-OD-0399,399,12354.07,Defaulter,2026-08-07
TAX-OD-0400,400,18423.93,Paid,2026-03-26
TAX-OD-0401,401,11984.32,Paid,2026-03-10
TAX-OD-0402,402,18652.54,Pending,2026-06-03
TAX-OD-0403,403,22719.26,Paid,2026-04-01
TAX-OD-0404,404,14979.7,Paid,2026-02-15
TAX-OD-0405,405,17094.9,Paid,2026-02-22
TAX-OD-0406,406,10045.1,Paid,2026-04-17
TAX-OD-0407,407,9091.85,Pending,2026-04-04
TAX-OD-0408,408,7281.64,Paid,2026-02-02
TAX-OD-0409,409,5441.21,Paid,2026-06-01
TAX-OD-0410,410,17259.58,Paid,2026-04-25
TAX-OD-0411,411,15380.35,Paid,2026-05-28
TAX-OD-0412,412,10358.54,Paid,2026-06-03
TAX-OD-0413,413,14068.44,Paid,2026-08-04
TAX-OD-0414,414,12937.87,Paid,2026-06-07
TAX-OD-0415,415,7538.11,Pending,2026-02-28
TAX-OD-0416,416,14289.35,Defaulter,2026-04-15
TAX-OD-0417,417,13173.6,Paid,2026-07-08
TAX-OD-0418,418,13030.18,Paid,2026-07-17
TAX-OD-0419,419,19059.35,Pending,2026-01-23
TAX-OD-0420,420,18553.34,Paid,2026-01-03
TAX-OD-0421,421,8522.19,Paid,2026-02-05
TAX-OD-0422,422,12625.71,Paid,2026-06-04
TAX-OD-0423,423,9832.62,Defaulter,2026-02-15
TAX-OD-0424,424,29390.34,Paid,2026-08-21
TAX-OD-0425,425,31080.4,Paid,2026-01-21
TAX-OD-0426,426,22604.64,Paid,2026-04-01
TAX-OD-0427,427,17240.5,Defaulter,2026-05-27
TAX-OD-0428,428,15916.56,Paid,2026-07-04
TAX-OD-0429,429,18364.08,Paid,2026-05-17
TAX-OD-0430,430,21803.89,Paid,2026-04-11
TAX-OD-0431,431,8142.26,Paid,2026-01-24
TAX-OD-0432,432,9269.61,Pending,2026-07-21
TAX-OD-0433,433,7240.46,Paid,2026-08-24
TAX-OD-0434,434,4949.0,Paid,2026-02-04
TAX-OD-0435,435,12493.42,Paid,2026-05-24
TAX-OD-0436,436,11996.44,Paid,2026-08-05
TAX-OD-0437,437,29235.7,Paid,2026-03-05
TAX-OD-0438,438,11283.26,Defaulter,2026-05-10
TAX-OD-0439,439,13411.89,Paid,2026-01-05
TAX-OD-0440,440,14629.41,Paid,2026-02-20
TAX-OD-0441,441,18249.5,Defaulter,2026-05-17
TAX-OD-0442,442,4494.96,Pending,2026-08-20
TAX-OD-0443,443,23901.41,Paid,2026-03-03
TAX-OD-0444,444,25105.66,Paid,2026-06-23
TAX-OD-0445,445,23673.5,Defaulter,2026-03-26
TAX-OD-0446,446,22037.41,Paid,2026-01-13
TAX-OD-0447,447,17229.15,Paid,2026-06-19
TAX-OD-0448,448,34420.19,Paid,2026-05-07
TAX-OD-0449,449,27905.7,Paid,2026-08-19
TAX-OD-0450,450,18332.58,Defaulter,2026-02-14
TAX-OD-0451,451,21886.42,Paid,2026-03-05
TAX-OD-0452,452,18051.93,Paid,2026-02-06
TAX-OD-0453,453,20859.05,Paid,2026-04-16
TAX-OD-0454,454,14309.9,Paid,2026-07-18
TAX-OD-0455,455,10931.08,Paid,2026-02-21
TAX-OD-0456,456,23322.5,Paid,2026-07-06
TAX-OD-0457,457,17473.96,Paid,2026-07-22
TAX-OD-0458,458,21579.05,Paid,2026-06-28
TAX-OD-0459,459,28500.32,Paid,2026-08-14
TAX-OD-0460,460,9810.8,Paid,2026-05-06
TAX-OD-0461,461,23038.63,Pending,2026-08-14
TAX-OD-0462,462,16593.89,Paid,2026-02-13
TAX-OD-0463,463,4918.85,Paid,2026-01-20
TAX-OD-0464,464,25945.09,Paid,2026-03-22
TAX-OD-0465,465,10772.95,Paid,2026-03-20
TAX-OD-0466,466,19174.54,Pending,2026-02-13
TAX-OD-0467,467,12378.03,Paid,2026-07-14
TAX-OD-0468,468,9603.17,Paid,2026-08-22
TAX-OD-0469,469,10921.65,Pending,2026-04-11
TAX-OD-0470,470,25506.45,Paid,2026-06-28
TAX-OD-0471,471,31548.75,Paid,2026-02-23
TAX-OD-0472,472,15725.69,Defaulter,2026-08-14
TAX-OD-0473,473,10298.42,Defaulter,2026-03-19
TAX-OD-0474,474,9741.81,Pending,2026-05-05
TAX-OD-0475,475,31663.41,Defaulter,2026-03-28
TAX-OD-0476,476,18720.6,Paid,2026-08-19
TAX-OD-0477,477,18476.2,Pending,2026-02-26
TAX-OD-0478,478,18024.49,Paid,2026-05-18
TAX-OD-0479,479,25665.43,Paid,2026-02-07
TAX-OD-0480,480,17601.91,Pending,2026-04-19
TAX-OD-0481,481,10128.64,Paid,2026-05-28
TAX-OD-0482,482,11801.54,Paid,2026-03-11
TAX-OD-0483,483,7359.12,Defaulter,2026-08-28
TAX-OD-0484,484,9230.55,Pending,2026-02-03
TAX-OD-0485,485,34821.39,Defaulter,2026-07-02
TAX-OD-0486,486,11840.1,Paid,2026-06-25
TAX-OD-0487,487,5363.51,Paid,2026-07-14
TAX-OD-0488,488,14052.47,Paid,2026-06-21
TAX-OD-0489,489,6992.76,Paid,2026-02-25
TAX-OD-0490,490,6724.55,Paid,2026-07-01
TAX-OD-0491,491,16473.86,Paid,2026-06-23
TAX-OD-0492,492,10556.01,Paid,2026-06-08
TAX-OD-0493,493,9053.37,Paid,2026-08-28
TAX-OD-0494,494,24032.77,Pending,2026-02-06
